text,star,app_id,reviewDate
"So far so good,got items on time",5,com.alibaba.aliexpresshd,18-03-2021
Amazing app. Best place to purchase your product internationally,5,com.alibaba.aliexpresshd,18-03-2021
Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,5,com.alibaba.aliexpresshd,18-03-2021
"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",5,com.alibaba.aliexpresshd,18-03-2021
Fast delivery,5,com.alibaba.aliexpresshd,18-03-2021
"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",4,com.alibaba.aliexpresshd,18-03-2021
رائع للتسوق,5,com.alibaba.aliexpresshd,18-03-2021
YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,1,com.alibaba.aliexpresshd,18-03-2021
Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,2,com.alibaba.aliexpresshd,18-03-2021
This App Really Makes Shopping Easy and Fun,5,com.alibaba.aliexpresshd,18-03-2021
Excellent,5,com.alibaba.aliexpresshd,18-03-2021
Am very happy to use this app everything is straight forward and deliveries are quick,5,com.alibaba.aliexpresshd,18-03-2021
got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1,com.alibaba.aliexpresshd,18-03-2021
Very nice app,5,com.alibaba.aliexpresshd,18-03-2021
Very easy app to use. Lots to choose from.,5,com.alibaba.aliexpresshd,18-03-2021
"Theres one item that i didnt get, but i still like this better than others apps.",5,com.alibaba.aliexpresshd,18-03-2021
With time I will give it 5 stars Started using it not quite long,3,com.alibaba.aliexpresshd,18-03-2021
"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",5,com.alibaba.aliexpresshd,18-03-2021
Amazing,5,com.alibaba.aliexpresshd,18-03-2021
For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,5,com.alibaba.aliexpresshd,18-03-2021
I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,4,com.alibaba.aliexpresshd,18-03-2021
Good,4,com.alibaba.aliexpresshd,18-03-2021
Nice,5,com.alibaba.aliexpresshd,18-03-2021
My favourite app,5,com.alibaba.aliexpresshd,18-03-2021
Great service.,5,com.alibaba.aliexpresshd,18-03-2021
Good deals but too long shipping time could it be Faster ??,4,com.alibaba.aliexpresshd,18-03-2021
Awesome,1,com.alibaba.aliexpresshd,18-03-2021
I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,5,com.alibaba.aliexpresshd,18-03-2021
"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",2,com.alibaba.aliexpresshd,18-03-2021
"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1,com.alibaba.aliexpresshd,18-03-2021
Package was in perfect condition. Shipping was faster than expected..,4,com.alibaba.aliexpresshd,18-03-2021
New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,5,com.alibaba.aliexpresshd,18-03-2021
👍👍,5,com.alibaba.aliexpresshd,18-03-2021
Fair and good,4,com.alibaba.aliexpresshd,18-03-2021
Amazing,5,com.alibaba.aliexpresshd,18-03-2021
So reliable.,5,com.alibaba.aliexpresshd,18-03-2021
Very nice,5,com.alibaba.aliexpresshd,18-03-2021
Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1,com.alibaba.aliexpresshd,18-03-2021
Awesome and user friendly,5,com.alibaba.aliexpresshd,18-03-2021
Useless.. fake,1,com.alibaba.aliexpresshd,18-03-2021
Super,5,com.alibaba.aliexpresshd,18-03-2021
Love it,5,com.alibaba.aliexpresshd,18-03-2021
Great,5,com.alibaba.aliexpresshd,18-03-2021
Excellent,5,com.alibaba.aliexpresshd,18-03-2021
"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",4,com.alibaba.aliexpresshd,18-03-2021
Amazing selection,5,com.alibaba.aliexpresshd,18-03-2021
Totally satisfied with shipping time and product's in which I have purchased.,5,com.alibaba.aliexpresshd,18-03-2021
Very good,5,com.alibaba.aliexpresshd,18-03-2021
